move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
000346621562002130666121352,-1.000,0.964,-0.762,-0.941,-0.941,-0.941,-1.000,1
004154564511553133131633540,-0.941,-1.000,0.462,-1.000,-0.941,-1.000,-0.941,2
006165062114254305541562316,0.635,0.635,0.905,0.964,0.905,0.635,0.635,3
000616136255064240656245553,-0.941,-0.941,0.964,-0.941,0.905,-1.000,-1.000,2
004326024232202634565345031,0.905,0.905,-1.000,0.905,0.905,0.905,0.964,6
002105003665061145221421564,-1.000,-0.941,-0.941,0.000,-0.941,-0.941,-0.941,3
001530016230103414425141655,-1.000,-1.000,-0.941,-0.941,-0.941,-0.941,-0.941,2
004213261126500016216462436,-0.848,-0.848,-0.848,-0.941,-0.245,0.964,-1.000,5
005345264426244663011152115,0.462,0.462,0.462,-0.941,0.462,0.635,0.462,5
005263122030014550112126661,-1.000,-1.000,-0.905,-0.941,-0.941,-0.941,-0.941,2
000614643336061541631450154,-0.941,-0.941,0.462,-0.941,-0.941,0.964,-0.941,5
006534060612623113213034101,-1.000,-1.000,0.964,-0.245,0.905,0.905,0.000,2
001045150554324460314402216,-1.000,0.905,0.905,-0.941,-1.000,0.762,-0.245,1
003402101004615425362152122,-1.000,-0.905,-1.000,-0.941,0.964,-0.905,-0.905,4
006351221410211041626446456,0.964,-1.000,0.462,0.462,0.462,0.462,0.462,0
003334421613331454522460520,-0.941,0.964,-0.941,-1.000,0.964,0.964,-0.941,1
006233665622645505103213035,0.905,0.964,0.905,0.905,0.905,0.905,0.905,1
006531012220242211654141605,-0.941,-1.000,-1.000,0.964,-0.941,-0.941,-0.905,3
001211340334054611551455335,-0.848,-1.000,-0.941,-0.848,-0.848,-1.000,0.964,6
000656335605115431666413122,-0.462,-0.635,-0.635,0.762,-0.941,-0.635,-1.000,3
001012666114445051246425166,0.964,-1.000,0.905,-0.941,0.964,0.905,-1.000,0
001334201626316304024021113,-1.000,-1.000,-0.941,-0.941,-0.941,0.964,-0.941,5
006050020156653445461264452,-1.000,0.905,0.905,0.905,0.905,0.964,0.905,5
001322451130054200216564315,-1.000,0.964,0.905,0.905,0.848,0.000,0.000,1
002115155130120330235303126,-1.000,-1.000,0.964,-1.000,0.905,0.635,0.635,2
004125605265006225163116034,-1.000,0.905,0.905,0.964,0.964,0.905,0.905,3
