move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
11222464,-0.762,-0.635,-0.635,-1.000,-0.635,-0.762,-0.941,1
03114551,-0.762,-0.762,-0.964,-0.635,-0.762,-0.635,-0.762,3
0000311343,-0.848,-0.762,-0.848,-0.245,-0.848,0.998,-0.762,5
131114544,-0.635,-0.762,-0.635,0.462,-0.462,-0.635,-0.762,3
0100215164,-0.999,-0.462,-0.999,-0.999,-0.999,-0.999,-0.999,1
1043555555,-0.762,-0.462,-0.762,0.462,0.000,-1.000,-0.762,3
0242644555,-0.848,-0.848,-0.762,-0.762,-0.762,-0.762,-0.848,2
1053544666,0.462,0.762,0.762,0.999,0.992,0.998,0.462,3
0203133661,0.635,0.462,0.635,0.462,0.635,-0.848,-0.848,0
0400255454,-0.999,-0.999,-0.999,-0.999,-0.462,-0.999,-0.999,4
0000303365,-0.762,0.762,0.762,0.848,-0.762,-0.762,-0.762,3
21111365,-0.462,-0.462,0.245,0.941,0.000,0.462,-0.462,3
0000030366,-1.000,-0.992,-0.998,-0.997,-0.905,-0.992,-0.997,4
0061666665,-0.635,-0.635,-0.635,-0.635,-0.635,-0.635,-1.000,0
1123354434,-0.635,0.000,-0.848,0.848,0.848,-0.635,-0.762,3
0242536364,-0.999,-0.999,-0.999,-0.999,-0.999,-0.997,-0.999,5
0202225545,-0.462,-0.762,-0.905,-0.245,-0.762,-0.964,-0.635,3
11151556,-0.635,0.762,-0.462,0.848,-0.462,-0.635,-0.635,3
11422335,-0.245,0.000,0.000,0.995,0.762,0.997,-0.245,5
2343355660,0.462,0.462,0.635,0.635,0.462,0.635,0.462,2
0126264434,0.992,-0.462,0.998,0.992,0.000,0.999,-0.462,5
2141611,-0.762,-0.762,-0.635,-0.762,-0.462,0.000,-0.762,5
03114464,-0.905,-0.905,-0.995,-0.848,-0.905,-0.941,-0.905,3
03053636,-1.000,-1.000,-1.000,-1.000,0.762,-1.000,-1.000,4
001051666,0.635,-0.999,-0.245,0.635,-0.245,-0.999,-0.999,0
0111232244,-0.762,-0.762,-0.635,-0.762,-0.635,-0.848,-0.762,2
002146446,-0.992,0.000,0.462,0.245,-0.987,0.245,-0.987,2
1114153323,0.999,0.998,-0.462,0.000,0.000,-0.995,-0.995,0
0100215152,-0.999,-0.635,-0.999,-0.999,-0.999,-0.999,-0.999,1
33313111,-0.995,-0.635,-0.905,0.848,0.848,0.462,0.462,3
0400254656,-0.999,-0.999,-0.999,0.992,-0.999,-0.999,-0.999,3
2111124262,-0.999,-0.999,-0.762,-0.999,-0.999,-0.999,-0.999,2
1123353663,-0.999,-0.999,-0.999,-0.999,0.000,-0.999,-0.999,4
0020516222,-0.462,0.000,-0.635,0.000,-0.462,-0.635,-0.635,1
0245566662,-0.635,-0.635,-0.635,-0.635,0.462,-0.462,-0.462,4
11322554,0.635,0.762,0.848,0.997,0.848,0.762,0.635,3
1124434336,-0.999,-0.999,-0.999,-0.999,-0.999,0.964,-0.999,5
0133536335,-0.848,-0.848,-0.905,-0.848,0.999,-0.762,-0.762,4
0014146646,-0.462,0.848,0.762,0.848,0.635,-0.635,0.635,1
020533363,-0.848,-0.762,-0.997,-0.762,-0.905,-0.762,-0.762,1
13533331,-0.848,-0.905,-0.905,-0.905,-0.997,-0.848,-0.848,0
21316331,-1.000,-0.762,-1.000,-1.000,-1.000,-1.000,-1.000,1
0066061662,-0.635,-0.462,-0.462,0.462,-0.462,-0.462,-0.635,3
03262656,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-0.462,6
0202202426,0.000,0.762,0.999,0.762,0.762,0.635,0.462,2
0000030515,-1.000,-0.999,-0.987,-0.999,-0.905,-0.999,-0.992,4
001346656,0.000,0.000,-0.635,0.462,-0.245,-0.462,0.000,3
02366,0.000,-0.635,0.462,0.762,-0.462,-0.462,-0.462,3
0000030522,-1.000,-0.999,-0.998,-0.848,-0.998,-0.998,-0.998,3
2343355662,-0.635,-0.635,0.245,0.635,-0.635,0.635,0.245,3
1123353644,0.762,0.762,0.848,0.848,0.762,0.762,0.762,2
2123243,-1.000,-1.000,-0.997,-1.000,-1.000,-1.000,-1.000,2
0100215110,-0.462,-0.462,-0.245,0.000,-0.462,0.000,-0.462,3
1005151544,-0.999,0.999,-0.999,-0.999,-0.999,0.997,-0.999,1
0000030536,-1.000,-0.999,-0.999,-0.999,-0.635,-0.999,-0.999,4
1001330344,0.998,-0.964,0.999,-0.245,-0.998,0.998,0.998,2
11123656,-0.848,-0.905,-0.462,0.000,-0.941,-0.462,-0.762,3
11222442,-0.462,-0.245,0.000,0.000,0.462,-0.462,-0.462,4
0010550535,-0.999,-0.999,0.999,-0.999,-0.999,0.635,-0.999,2
025255156,0.462,0.635,0.635,0.635,0.848,0.848,0.462,4
0000030553,-1.000,-0.999,-0.998,-0.999,-0.848,-0.999,-0.997,4
1511213535,0.999,-0.999,-0.999,-0.999,0.999,0.998,-0.999,0
0202225263,-0.635,-0.848,-0.905,0.000,-0.905,0.462,-0.848,5
03633555,-0.762,-0.848,-0.635,0.848,-0.762,-0.635,-0.762,3
03235464,-0.999,-0.999,-0.997,-0.999,-0.999,-0.997,-0.997,2
0133545664,-0.848,-0.762,-0.905,-0.635,-0.635,-0.635,-0.848,3
001556556,-0.635,-0.462,-0.462,0.000,-0.992,-0.762,-0.762,3
0202242242,0.848,0.762,-1.000,0.848,-0.999,0.635,-0.999,0
